,1,2,3,4,5,6,7,8,9,10,11,12
A,SBC005921,SBC005955,SBC006387,,,,SBC006248,SBC006258,SBC006270,SBC006288,SBC006312,
B,SBC005924,SBC005958,,,,,SBC006249,SBC006259,SBC006271,SBC006289,SBC006313,
C,SBC005927,SBC005967,,,,,SBC006250,SBC006260,SBC006274,SBC006292,SBC006316,
D,SBC005932,SBC005972,,,,,SBC006251,SBC006263,SBC006277,SBC006295,SBC006317,
E,SBC005939,SBC005973,,,,,SBC006252,SBC006264,SBC006278,SBC006296,SBC006324,
F,SBC005944,SBC005978,,,,,SBC006253,SBC006265,SBC006281,SBC006297,SBC006327,
G,SBC005951,SBC006385,,,,,SBC006256,SBC006268,SBC006282,SBC006298,SBC006328,
H,SBC005952,SBC006386,,,,,SBC006257,SBC006269,SBC006287,SBC006303,,
