well,id
A01,SBC006249
A02,SBC008026
A03,SBC008035
A04,SBC008045
A05,SBC008055
A06,SBC008065
A07,SBC008076
A08,SBC008088
A09,SBC008104
B01,SBC006256
B02,SBC008027
B03,SBC008037
B04,SBC008046
B05,SBC008056
B06,SBC008066
B07,SBC008078
B08,SBC008089
B09,SBC008106
C01,SBC008020
C2,SBC008029
C03,SBC008038
C04,SBC008047
C05,SBC008057
C06,SBC008067
C07,SBC008079
C08,SBC008091
C09,SBC008108
D01,SBC008021
D02,SBC008030
D03,SBC008039
D4,SBC008049
D5,SBC008059
D06,SBC008069
D07,SBC008081
D08,SBC008093
D09,SBC008113
E01,SBC008022
E02,SBC008031
E03,SBC008040
E04,SBC008050
E05,SBC008060
E06,SBC008071
E07,SBC008082
E08,SBC008095
E09,SBC008116
F01,SBC008023
F02,SBC008032
F03,SBC008041
F04,SBC008051
F05,SBC008061
F06,SBC008073
F07,SBC008084
F08,SBC008097
F09,SBC008118
G01,SBC008024
G02,SBC008033
G03,SBC008043
G04,SBC008052
G05,SBC008062
G06,SBC008074
G07,SBC008085
G08,SBC008100
G09,SBC008120
H01,SBC008025
H02,SBC008034
H03,SBC008044
H04,SBC008054
H05,SBC008064
H06,SBC008075
H07,SBC008086
H08,SBC008103
