well,id
A01,SBC004913_P
A02,SBC006439_P
A03,SBC007437_P
A04,SBC007458_P
A05,SBC007344_P
A06,SBC007360_P
A07,SBC007194_P
A08,SBC004733_P
A09,SBC000329_P
B01,SBC004914_P
B02,SBC006440_P
B03,SBC007439_P
B04,SBC007460_P
B05,SBC007346_P
B06,SBC007362_P
B07,SBC007302_P
B08,SBC006930_P
B09,SBC000330_P
C01,SBC004915_P
C02,SBC007468_P
C03,SBC007441_P
C04,SBC007462_P
C05,SBC007348_P
C06,SBC007364_P
C07,SBC007304_P
C08,SBC006931_P
C09,SBC000331_P
D01,SBC004918_P
D02,SBC007470_P
D03,SBC007448_P
D04,SBC007464_P
D05,SBC007350_P
D06,SBC007184_P
D07,SBC007306_P
D08,SBC004734_P
D09,SBC000332_P
E01,SBC004923_P
E02,SBC007472_P
E03,SBC007450_P
E04,SBC007466_P
E05,SBC007352_P
E06,SBC007186_P
E07,SBC007308_P
E08,SBC004735_P
F01,SBC004924_P
F02,SBC007474_P
F03,SBC007452_P
F04,SBC007338_P
F05,SBC007354_P
F06,SBC007188_P
F07,SBC007336_P
F08,SBC006924_P
G01,SBC004980_P
G02,SBC007433_P
G03,SBC007454_P
G04,SBC007340_P
G05,SBC007356_P
G06,SBC007190_P
G07,SBC007312_P
G08,SBC007332_P
H01,SBC004981_P
H02,SBC007435_P
H03,SBC007456_P
H04,SBC007342_P
H05,SBC007358_P
H06,SBC007192_P
H07,SBC007314_P
H08,SBC007334_P
