well,id
A01,SBC007952
A02,SBC007964
A03,SBC007974
A04,SBC007985
A05,SBC007998
A06,SBC008010
B01,SBC007953
B02,SBC007965
B03,SBC007975
B4,SBC007987
B05,SBC008000
B06,SBC008012
C01,SBC007955
C02,SBC007966
C03,SBC007977
C04,SBC007988
C05,SBC008001
C06,SBC008013
D01,SBC007956
D02,SBC007967
D03,SBC007979
D04,SBC007989
D05,SBC008003
D06,SBC008014
E01,SBC007957
E02,SBC007968
E03,SBC007980
E04,SBC007991
E05,SBC008004
E06,SBC008016
F01,SBC007959
F02,SBC007969
F3,SBC007982
F04,SBC007993
F05,SBC008006
F06,SBC008017
G01,SBC007960
G02,SBC007971
G03,SBC007983
G04,SBC007994
G05,SBC008008
G06,SBC008018
H01,SBC007962
H02,SBC007972
H03,SBC007984
H04,SBC007995
H05,SBC008009
