,1,2,3,4,5,6,7,8,9,10,11,12
A,SBC004731,SBC004749,SBC004817,SBC004835,,,,,,,,
B,SBC004732,SBC004750,SBC004819,,,,,,,,,
C,SBC004733,SBC004751,SBC004820,,,,,,,,,
D,SBC004734,SBC004752,SBC004821,,,,,,,,,
E,SBC004735,SBC004753,SBC004736,,,,,,,,,
F,SBC004741,SBC004754,SBC004737,,,,,,,,,
G,SBC004748,SBC004815,SBC004740,,,,,,,,,
H,SBC004767,SBC004816,SBC004832,,,,,,,,,
