well,id
A01,SBC005613
A02,SBC005634
A03,SBC005665
A04,SBC005689
A05,SBC008291
A06,SBC008300
A07,SBC008312
A08,SBC008325
A09,SBC008340
B01,SBC005614
B02,SBC005637
B03,SBC005668
B04,SBC005690
B05,SBC008292
B06,SBC008302
B07,SBC008313
B08,SBC008326
B09,SBC008344
C01,SBC005617
C02,SBC005638
C03,SBC005671
C04,SBC005706
C05,SBC008293
C06,SBC008303
C07,SBC008314
C08,SBC008329
C09,SBC008347
D01,SBC005623
D02,SBC005639
D03,SBC005674
D04,SBC005716
D05,SBC008294
D06,SBC008305
D07,SBC008316
D08,SBC008331
D09,SBC008350
E01,SBC005624
E02,SBC005644
E03,SBC005676
E04,SBC005720
E05,SBC008295
E06,SBC008306
E07,SBC008317
E08,SBC008333
E09,SBC008355
F01,SBC005625
F02,SBC005650
F03,SBC005680
F04,SBC005743
F05,SBC008297
F06,SBC008308
F07,SBC008319
F08,SBC008334
F09,SBC008358
G01,SBC005632
G02,SBC005656
G03,SBC005681
G04,SBC006249
G05,SBC008298
G06,SBC008309
G07,SBC008320
G08,SBC008336
G09,SBC008360
H01,SBC005633
H02,SBC005657
H03,SBC005684
H04,SBC006256
H05,SBC008299
H06,SBC008310
H07,SBC008321
H08,SBC008338
