well,id
A01,SBC007410_P
A02,SBC007164_P
A03,SBC007180_P
A04,SBC007238_P
A05,SBC007254_P
A06,SBC007156_P
A07,SBC007198_P
A08,SBC007430_P
A09,SBC007290_P
B01,SBC007412_P
B02,SBC007166_P
B03,SBC007182_P
B04,SBC007240_P
B05,SBC007256_P
B06,SBC007158_P
B07,SBC007200_P
B08,SBC007216_P
B09,SBC007292_P
C01,SBC007414_P
C02,SBC007168_P
C03,SBC007274_P
C04,SBC007242_P
C05,SBC007266_P
C06,SBC000314_P
C07,SBC007202_P
C08,SBC007218_P
C09,SBC007294_P
D01,SBC007416_P
D02,SBC007170_P
D03,SBC007276_P
D04,SBC007244_P
D05,SBC007268_P
D06,SBC000318_P
D07,SBC007204_P
D08,SBC007220_P
E01,SBC007418_P
E02,SBC007172_P
E03,SBC007278_P
E04,SBC007246_P
E05,SBC007270_P
E06,SBC000323_P
E07,SBC007422_P
E08,SBC007222_P
F01,SBC007420_P
F02,SBC007174_P
F03,SBC007280_P
F04,SBC007248_P
F05,SBC007272_P
F06,SBC004731_P
F07,SBC007424_P
F08,SBC007224_P
G01,SBC007160_P
G02,SBC007176_P
G03,SBC007282_P
G04,SBC007250_P
G05,SBC007152_P
G06,SBC006926_P
G07,SBC007426_P
G08,SBC007286_P
H01,SBC007162_P
H02,SBC007178_P
H03,SBC007284_P
H04,SBC007252_P
H05,SBC007154_P
H06,SBC007196_P
H07,SBC007428_P
H08,SBC007288_P
