id,well
SBC007410,A1
SBC007426,A2
SBC007448,A3
SBC007464,A4
SBC007412,B1
SBC007428,B2
SBC007450,B3
SBC007466,B4
SBC007414,C1
SBC007430,C2
SBC007452,C3
SBC007468,C4
SBC007416,D1
SBC007433,D2
SBC007454,D3
SBC007470,D4
SBC007418,E1
SBC007435,E2
SBC007456,E3
SBC007474,E4
SBC007420,F1
SBC007437,F2
SBC007458,F3
SBC007472,F4
SBC007422,G1
SBC007439,G2
SBC007460,G3
SBC007424,H1
SBC007441,H2
SBC007462,H3
