,1,2,3,4,5,6,7,8,9,10,11,12
A,SBC005777,SBC005785,SBC005795,SBC005805,SBC005815,SBC005825,SBC005835,SBC005847,SBC005861,SBC005873,SBC005887,SBC005905
B,SBC005778,SBC005786,SBC005796,SBC005806,SBC005816,SBC005826,SBC005838,SBC005848,SBC005862,SBC005874,SBC005888,SBC005908
C,SBC005779,SBC005787,SBC005797,SBC005807,SBC005817,SBC005827,SBC005839,SBC005851,SBC005865,SBC005877,SBC005891,SBC005909
D,SBC005780,SBC005788,SBC005798,SBC005808,SBC005818,SBC005828,SBC005840,SBC005854,SBC005866,SBC005878,SBC005894,SBC005910
E,SBC005781,SBC005791,SBC005799,SBC005809,SBC005821,SBC005831,SBC005841,SBC005855,SBC005867,SBC005881,SBC005895,SBC005911
F,SBC005782,SBC005792,SBC005802,SBC005812,SBC005822,SBC005832,SBC005842,SBC005856,SBC005868,SBC005882,SBC005898,SBC005914
G,SBC005783,SBC005793,SBC005803,SBC005813,SBC005823,SBC005833,SBC005845,SBC005857,SBC005869,SBC005883,SBC005901,SBC005915
H,SBC005784,SBC005794,SBC005804,SBC005814,SBC005824,SBC005834,SBC005846,SBC005858,SBC005872,SBC005884,SBC005902,SBC005916
