well,id
A01,SBC007594
A02,SBC008185
A03,SBC008194
A04,SBC008203
A05,SBC008213
A06,SBC008222
A07,SBC008232
A08,SBC008241
A09,SBC008254
A10,SBC008263
A11,SBC008277
A12,SBC008287
B01,SBC007609
B02,SBC008186
B03,SBC008195
B04,SBC008204
B05,SBC008214
B06,SBC008223
B07,SBC008233
B08,SBC008243
B09,SBC008255
B10,SBC008265
B11,SBC008278
B12,SBC008288
C01,SBC008179
C02,SBC008187
C3,SBC008197
C4,SBC008206
C05,SBC008215
C06,SBC008225
C07,SBC008234
C08,SBC008244
C09,SBC008256
C10,SBC008267
C11,SBC008279
D01,SBC008180
D02,SBC008188
D03,SBC008198
D04,SBC008207
D05,SBC008217
D06,SBC008226
D07,SBC008235
D08,SBC008246
D09,SBC008257
D10,SBC008268
D11,SBC008281
E01,SBC008181
E02,SBC008189
E03,SBC008199
E04,SBC008208
E05,SBC008218
E06,SBC008227
E07,SBC008236
E08,SBC008248
E09,SBC008258
E10,SBC008270
E11,SBC008282
F01,SBC008182
F02,SBC008191
F03,SBC008200
F04,SBC008209
F05,SBC008219
F06,SBC008228
F07,SBC008238
F08,SBC008249
F09,SBC008260
F10,SBC008271
F11,SBC008283
G01,SBC008183
G02,SBC008192
G03,SBC008201
G4,SBC008211
G05,SBC008220
G06,SBC008229
G07,SBC008239
G08,SBC008250
G09,SBC008261
G10,SBC008272
G11,SBC008285
H01,SBC008184
H02,SBC008193
H03,SBC008202
H04,SBC008212
H05,SBC008221
H06,SBC008231
H07,SBC008240
H08,SBC008252
H09,SBC008262
H10,SBC008275
H11,SBC008286
