Project,Part ID (s),Lysate 1 location,Lysate 2 location,Substrate,Substrate location,Substrate mwt,Substrate state,Molarity,Instr. for 60 mM,Product,Comments,Product_ID
Allyl benzenes,7298 + 7284,1H8,1A7,p-coumaric acid,Chris fridge,164.05,solid,n/a,60 mM = 98.4 mg in 10 ml H2O,p-coumaraldehyde,,Coumaryl Aldehyde
Allyl benzenes,7300 + 7274,1A9,1D6,p-coumaric acid,Chris fridge,164.05,solid,n/a,60 mM = 98.4 mg in 10 ml H2O,p-coumaraldehyde,,Coumaryl Aldehyde
Allyl benzenes,7300 + 7276,1A9,1E6,p-coumaric acid,Chris fridge,164.05,solid,n/a,60 mM = 98.4 mg in 10 ml H2O,p-coumaraldehyde,,Coumaryl Aldehyde
Allyl benzenes,7300 + 7278,1A9,1F6,p-coumaric acid,Chris fridge,164.05,solid,n/a,60 mM = 98.4 mg in 10 ml H2O,p-coumaraldehyde,,Coumaryl Aldehyde
Allyl benzenes,7300 + 7280,1A9,1G6,p-coumaric acid,Chris fridge,164.05,solid,n/a,60 mM = 98.4 mg in 10 ml H2O,p-coumaraldehyde,,Coumaryl Aldehyde
Allyl benzenes,7300 + 7282,1A9,1H6,p-coumaric acid,Chris fridge,164.05,solid,n/a,60 mM = 98.4 mg in 10 ml H2O,p-coumaraldehyde,,Coumaryl Aldehyde
Allyl benzenes,7300 + 7284,1A9,1A7,p-coumaric acid,Chris fridge,164.05,solid,n/a,60 mM = 98.4 mg in 10 ml H2O,p-coumaraldehyde,,Coumaryl Aldehyde
Allyl benzenes,7248 + 7266,1G7,1C8,p-coumaryl alcohol,TEST freezer,150.17,solid,n/a,60 mM = 90.1 mg in 10 ml EtOH,Chavicol,,Chavicol
Allyl benzenes,7248 + 7268,1G7,1D8,p-coumaryl alcohol,TEST freezer,150.17,solid,n/a,60 mM = 90.1 mg in 10 ml EtOH,Chavicol,,Chavicol
Allyl benzenes,7248 + 7270,1G7,1E8,p-coumaryl alcohol,TEST freezer,150.17,solid,n/a,60 mM = 90.1 mg in 10 ml EtOH,Chavicol,,Chavicol
Allyl benzenes,7248 + 7272,1G7,1F8,p-coumaryl alcohol,TEST freezer,150.17,solid,n/a,60 mM = 90.1 mg in 10 ml EtOH,Chavicol,,Chavicol
Allyl benzenes,7250 + 7266,1H7,1C8,p-coumaryl alcohol,TEST freezer,150.17,solid,n/a,60 mM = 90.1 mg in 10 ml EtOH,Chavicol,,Chavicol
Allyl benzenes,7250 + 7268,1H7,1D8,p-coumaryl alcohol,TEST freezer,150.17,solid,n/a,60 mM = 90.1 mg in 10 ml EtOH,Chavicol,,Chavicol
Allyl benzenes,7250 + 7270,1H7,1E8,p-coumaryl alcohol,TEST freezer,150.17,solid,n/a,60 mM = 90.1 mg in 10 ml EtOH,Chavicol,,Chavicol
Allyl benzenes,7250 + 7272,1H7,1F8,p-coumaryl alcohol,TEST freezer,150.17,solid,n/a,60 mM = 90.1 mg in 10 ml EtOH,Chavicol,,Chavicol
Allyl benzenes,7252 + 7266,1A8,1C8,p-coumaryl alcohol,TEST freezer,150.17,solid,n/a,60 mM = 90.1 mg in 10 ml EtOH,Chavicol,,Chavicol
Allyl benzenes,7252 + 7268,1A8,1D8,p-coumaryl alcohol,TEST freezer,150.17,solid,n/a,60 mM = 90.1 mg in 10 ml EtOH,Chavicol,,Chavicol
Allyl benzenes,7252 + 7270,1A8,1E8,p-coumaryl alcohol,TEST freezer,150.17,solid,n/a,60 mM = 90.1 mg in 10 ml EtOH,Chavicol,,Chavicol
Allyl benzenes,7252 + 7272,1A8,1F8,p-coumaryl alcohol,TEST freezer,150.17,solid,n/a,60 mM = 90.1 mg in 10 ml EtOH,Chavicol,,Chavicol
Allyl benzenes,7254 + 7266,1B8,1C8,p-coumaryl alcohol,TEST freezer,150.17,solid,n/a,60 mM = 90.1 mg in 10 ml EtOH,Chavicol,,Chavicol
Allyl benzenes,7254 + 7268,1B8,1D8,p-coumaryl alcohol,TEST freezer,150.17,solid,n/a,60 mM = 90.1 mg in 10 ml EtOH,Chavicol,,Chavicol
Allyl benzenes,7254 + 7270,1B8,1E8,p-coumaryl alcohol,TEST freezer,150.17,solid,n/a,60 mM = 90.1 mg in 10 ml EtOH,Chavicol,,Chavicol
Allyl benzenes,7254 + 7272,1B8,1F8,p-coumaryl alcohol,TEST freezer,150.17,solid,n/a,60 mM = 90.1 mg in 10 ml EtOH,Chavicol,,Chavicol
Allyl benzenes,7298 + 7274,1H8,1D6,p-ferulic acid,Chris fridge,194.18,solid,n/a,60 mM = 116.54 mg in 10 ml H2O,p-coniferaldehyde,,Coniferyl Aldehyde
Allyl benzenes,7298 + 7276,1H8,1E6,p-ferulic acid,Chris fridge,194.18,solid,n/a,60 mM = 116.54 mg in 10 ml H2O,p-coniferaldehyde,,Coniferyl Aldehyde
Allyl benzenes,7298 + 7278,1H8,1F6,p-ferulic acid,Chris fridge,194.18,solid,n/a,60 mM = 116.54 mg in 10 ml H2O,p-coniferaldehyde,,Coniferyl Aldehyde
Allyl benzenes,7298 + 7280,1H8,1G6,p-ferulic acid,Chris fridge,194.18,solid,n/a,60 mM = 116.54 mg in 10 ml H2O,p-coniferaldehyde,,Coniferyl Aldehyde
Allyl benzenes,7298 + 7282,1H8,1H6,p-ferulic acid,Chris fridge,194.18,solid,n/a,60 mM = 116.54 mg in 10 ml H2O,p-coniferaldehyde,,Coniferyl Aldehyde
Allyl benzenes,7298 + 7284,1H8,1A7,p-ferulic acid,Chris fridge,194.18,solid,n/a,60 mM = 116.54 mg in 10 ml H2O,p-coniferaldehyde,,Coniferyl Aldehyde
Allyl benzenes,7300 + 7274,1A9,1D6,p-ferulic acid,Chris fridge,194.18,solid,n/a,60 mM = 116.54 mg in 10 ml H2O,p-coniferaldehyde,,Coniferyl Aldehyde
Allyl benzenes,7300 + 7276,1A9,1E6,p-ferulic acid,Chris fridge,194.18,solid,n/a,60 mM = 116.54 mg in 10 ml H2O,p-coniferaldehyde,,Coniferyl Aldehyde
Allyl benzenes,7300 + 7278,1A9,1F6,p-ferulic acid,Chris fridge,194.18,solid,n/a,60 mM = 116.54 mg in 10 ml H2O,p-coniferaldehyde,,Coniferyl Aldehyde
Allyl benzenes,7300 + 7280,1A9,1G6,p-ferulic acid,Chris fridge,194.18,solid,n/a,60 mM = 116.54 mg in 10 ml H2O,p-coniferaldehyde,,Coniferyl Aldehyde
Allyl benzenes,7300 + 7282,1A9,1H6,p-ferulic acid,Chris fridge,194.18,solid,n/a,60 mM = 116.54 mg in 10 ml H2O,p-coniferaldehyde,,Coniferyl Aldehyde
Allyl benzenes,7300 + 7284,1A9,1A7,p-ferulic acid,Chris fridge,194.18,solid,n/a,60 mM = 116.54 mg in 10 ml H2O,p-coniferaldehyde,,Coniferyl Aldehyde
Allyl benzenes,7248 + 7266,1G7,1C8,p-coniferyl alcohol,TEST freezer,180.2,solid,n/a,60 mM = 108.1 mg in 10 ml EtOH,Eugenol,,Eugenol
Allyl benzenes,7248 + 7268,1G7,1D8,p-coniferyl alcohol,TEST freezer,180.2,solid,n/a,60 mM = 108.1 mg in 10 ml EtOH,Eugenol,,Eugenol
Allyl benzenes,7248 + 7270,1G7,1E8,p-coniferyl alcohol,TEST freezer,180.2,solid,n/a,60 mM = 108.1 mg in 10 ml EtOH,Eugenol,,Eugenol
Allyl benzenes,7248 + 7272,1G7,1F8,p-coniferyl alcohol,TEST freezer,180.2,solid,n/a,60 mM = 108.1 mg in 10 ml EtOH,Eugenol,,Eugenol
Allyl benzenes,7250 + 7266,1H7,1C8,p-coniferyl alcohol,TEST freezer,180.2,solid,n/a,60 mM = 108.1 mg in 10 ml EtOH,Eugenol,,Eugenol
Allyl benzenes,7250 + 7268,1H7,1D8,p-coniferyl alcohol,TEST freezer,180.2,solid,n/a,60 mM = 108.1 mg in 10 ml EtOH,Eugenol,,Eugenol
Allyl benzenes,7250 + 7270,1H7,1E8,p-coniferyl alcohol,TEST freezer,180.2,solid,n/a,60 mM = 108.1 mg in 10 ml EtOH,Eugenol,,Eugenol
