Project,Part ID (s),Lysate 1 location,Lysate 2 location,Substrate,Substrate location,Substrate mwt,Substrate state,Molarity,Instr. for 60 mM,Product,Comments,Product_ID
Isobutene,7439,2G2,,2-oxoisovaleric acid,TEST fridge,116.1,liquid,8.59,60 mM = 69.9 ul in 10 ml EtOH,isobutaraldehyde,,isobutaraldehyde
Isobutene,7441,2H2,,2-oxoisovaleric acid,TEST fridge,116.1,liquid,8.59,60 mM = 69.9 ul in 10 ml EtOH,isobutaraldehyde,,isobutaraldehyde
Isobutene,7448,2A3,,isobutaraldehyde,TEST fridge,72.1,liquid,10.96,60 mM = 54.7 ul in 10 ml EtOH,isobutanol,,isobutanol
Isobutene,7450,2B3,,isobutanol,TEST fridge,74.1,liquid,10.82,60 mM = 55.5 ul in 10 ml EtOH,isobutene,,isobutene
Isobutene,7452,2C3,,isobutanol,TEST fridge,74.1,liquid,10.82,60 mM = 55.5 ul in 10 ml EtOH,isobutene,,isobutene
Isobutene,7454,2D3,,isobutanol,TEST fridge,74.1,liquid,10.82,60 mM = 55.5 ul in 10 ml EtOH,isobutene,,isobutene
Isobutene,7456,2E3,,isobutanol,TEST fridge,74.1,liquid,10.82,60 mM = 55.5 ul in 10 ml EtOH,isobutene,,isobutene
Isobutene,7458,2F3,,isobutanol,TEST fridge,74.1,liquid,10.82,60 mM = 55.5 ul in 10 ml EtOH,isobutene,,isobutene
Isobutene,7460,2G3,,isobutanol,TEST fridge,74.1,liquid,10.82,60 mM = 55.5 ul in 10 ml EtOH,isobutene,,isobutene
Isobutene,7462,2H3,,isobutanol,TEST fridge,74.1,liquid,10.82,60 mM = 55.5 ul in 10 ml EtOH,isobutene,,isobutene
Isobutene,7464,2A4,,isobutanol,TEST fridge,74.1,liquid,10.82,60 mM = 55.5 ul in 10 ml EtOH,isobutene,,isobutene
Isobutene,7466,2B4,,isobutanol,TEST fridge,74.1,liquid,10.82,60 mM = 55.5 ul in 10 ml EtOH,isobutene,,isobutene
Isobutene,1454,1B11,,2-oxoisovaleric acid,TEST fridge,116.1,liquid,8.59,60 mM = 69.9 ul in 10 ml EtOH,isobutaraldehyde,,isobutaraldehyde
Isobutene,1454,1B11,,isobutaraldehyde,TEST fridge,72.1,liquid,10.96,60 mM = 54.7 ul in 10 ml EtOH,isobutanol,,isobutanol
Isobutene,1454,1B11,,isobutanol,TEST fridge,74.1,liquid,10.82,60 mM = 55.5 ul in 10 ml EtOH,isobutene,,isobutene
Ferulic acid,4731,2F4,,tyrosine,SBC Chem cupboard,181.19,solid,,60 mM = 108.7 mg in 10 ml 0.1 M HCl,L-DOPA,,
Ferulic acid,4731,2F4,,coumaric acid,Chris fridge,164.05,solid,,60 mM = 98.4 mg in 10 ml 0.1 M NaOH,caffeic acid,,
Ferulic acid,6926,2B5,,L-DOPA,Chris RNA cupboard,197.19,solid,,60 mM = 118.3 mg in 10 ml 0.1 M HCl,3-O-methyl-L-DOPA,,
Ferulic acid,7152,1B4,,L-DOPA,Chris RNA cupboard,197.19,solid,,60 mM = 118.3 mg in 10 ml 0.1 M HCl,3-O-methyl-L-DOPA,,
Ferulic acid,7154,1C4,,L-DOPA,Chris RNA cupboard,197.19,solid,,60 mM = 118.3 mg in 10 ml 0.1 M HCl,3-O-methyl-L-DOPA,,
Ferulic acid,7156,1D4,,L-DOPA,Chris RNA cupboard,197.19,solid,,60 mM = 118.3 mg in 10 ml 0.1 M HCl,3-O-methyl-L-DOPA,,
Ferulic acid,7158,1E4,,L-DOPA,Chris RNA cupboard,197.19,solid,,60 mM = 118.3 mg in 10 ml 0.1 M HCl,3-O-methyl-L-DOPA,,
Ferulic acid,6926,2B5,,caffeic acid,Chris fridge,180.16,solid,,60 mM = 108.1 mg in 10 ml 0.1 M NaOH,ferulic acid,,
Ferulic acid,7152,1B4,,caffeic acid,Chris fridge,180.16,solid,,60 mM = 108.1 mg in 10 ml 0.1 M NaOH,ferulic acid,,
Ferulic acid,7154,1C4,,caffeic acid,Chris fridge,180.16,solid,,60 mM = 108.1 mg in 10 ml 0.1 M NaOH,ferulic acid,,
Ferulic acid,7156,1D4,,caffeic acid,Chris fridge,180.16,solid,,60 mM = 108.1 mg in 10 ml 0.1 M NaOH,ferulic acid,,
Ferulic acid,7158,1E4,,caffeic acid,Chris fridge,180.16,solid,,60 mM = 108.1 mg in 10 ml 0.1 M NaOH,ferulic acid,,
Ferulic acid,1454,1E11,,tyrosine,SBC Chem cupboard,181.19,solid,,60 mM = 108.7 mg in 10 ml 0.1 M HCl,L-DOPA,,
Ferulic acid,1454,1E11,,coumaric acid,Chris fridge,164.05,solid,,60 mM = 98.4 mg in 10 ml 0.1 M NaOH,caffeic acid,,
Ferulic acid,1454,1E11,,L-DOPA,Chris RNA cupboard,197.19,solid,,60 mM = 118.3 mg in 10 ml 0.1 M HCl,caffeic acid / 3-O-methyl-L-DOPA,,
Ferulic acid,1454,1E11,,caffeic acid,Chris fridge,180.16,solid,,60 mM = 108.1 mg in 10 ml 0.1 M NaOH,ferulic acid,,
